21.819 0 0 0 9	291.220 100.275 -367.226 769.905 405.658 1178.116 -274.662 1238.920 -1289.967 1564.855 -206.733 2362.974 564.004 2349.246 -835.014 2731.206 -1539.803 2512.731 
22.033 0 0 0 9	291.220 100.275 -367.226 769.905 415.923 1174.531 -274.662 1238.920 -1289.967 1564.855 -206.733 2362.974 564.004 2349.246 -835.306 2732.163 -1540.326 2513.583 
22.246 0 0 0 10	292.084 97.730 -367.226 769.905 405.658 1178.116 -274.662 1238.920 -1289.967 1564.855 -206.646 2361.978 564.004 2349.246 -835.598 2733.119 -1539.803 2512.731 -2210.480 4338.311 
22.460 0 0 0 9	292.165 100.601 -367.226 769.905 415.923 1174.531 -274.445 1237.943 -1289.331 1564.083 -206.733 2362.974 563.771 2348.273 -835.306 2732.163 -1540.326 2513.583 
22.673 0 0 0 9	292.165 100.601 -367.226 769.905 415.923 1174.531 -274.662 1238.920 -1290.603 1565.626 -206.646 2361.978 564.004 2349.246 -835.014 2731.206 -1540.326 2513.583 
22.887 0 0 0 9	291.220 100.275 -367.226 769.905 415.923 1174.531 -274.662 1238.920 -1289.967 1564.855 -206.646 2361.978 563.771 2348.273 -835.306 2732.163 -1539.803 2512.731 
23.100 0 0 0 9	291.220 100.275 -367.226 769.905 415.923 1174.531 -274.878 1239.896 -1289.331 1564.083 -206.646 2361.978 564.004 2349.246 -835.598 2733.119 -1539.803 2512.731 
23.314 0 0 0 9	292.165 100.601 -367.226 769.905 405.658 1178.116 -274.662 1238.920 -1289.967 1564.855 -206.646 2361.978 584.725 2345.205 -835.306 2732.163 -1540.326 2513.583 
23.528 0 0 0 9	292.165 100.601 -367.226 769.905 415.923 1174.531 -274.662 1238.920 -1289.967 1564.855 -206.733 2362.974 564.004 2349.246 -835.014 2731.206 -1539.803 2512.731 
23.742 0 0 0 9	292.165 100.601 -367.226 769.905 405.658 1178.116 -274.662 1238.920 -1291.239 1566.398 -206.733 2362.974 564.004 2349.246 -835.598 2733.119 -1540.326 2513.583 
23.955 0 0 0 9	291.220 100.275 -360.071 772.174 416.257 1175.474 -274.662 1238.920 -1291.239 1566.398 -206.821 2363.970 564.004 2349.246 -835.306 2732.163 -1539.803 2512.731 
24.169 0 0 0 10	292.084 97.730 -360.071 772.174 405.658 1178.116 -274.878 1239.896 -1291.239 1566.398 -206.733 2362.974 564.004 2349.246 -835.598 2733.119 -1539.803 2512.731 -2210.934 4339.202 
24.382 0 0 0 10	291.220 100.275 -367.226 769.905 415.923 1174.531 -274.662 1238.920 -1291.239 1566.398 -206.646 2361.978 564.004 2349.246 -835.306 2732.163 -1539.803 2512.731 -2210.934 4339.202 
24.596 0 0 0 9	291.220 100.275 -360.071 772.174 405.658 1178.116 -274.445 1237.943 -1290.603 1565.626 -206.733 2362.974 564.237 2350.218 -835.306 2732.163 -1540.326 2513.583 
24.809 0 0 0 9	291.220 100.275 -365.934 767.197 415.256 1172.646 -274.229 1236.967 -1288.694 1563.311 -206.472 2359.985 584.967 2346.175 -834.721 2730.250 -1540.326 2513.583 
25.023 0 0 0 10	290.884 91.715 -364.212 763.587 413.253 1166.990 -272.930 1231.109 -1286.150 1560.225 -206.123 2356.000 583.758 2341.324 -833.259 2725.469 -1537.713 2509.320 -2205.486 4328.510 
25.237 0 0 0 9	290.301 83.242 -360.338 755.464 410.582 1159.449 -270.550 1220.370 -1281.698 1554.824 -205.252 2346.039 582.064 2334.532 -831.505 2719.731 -1535.101 2505.057 
25.451 0 0 0 9	-362.095 742.404 406.911 1149.080 -279.614 1211.142 -1275.973 1547.879 -204.119 2333.088 579.887 2325.799 -827.997 2708.255 -1551.074 2482.237 2056.396 2679.948 
25.665 0 0 0 9	-361.866 725.792 411.792 1131.390 -275.340 1192.629 -1281.718 1527.493 -202.724 2317.149 576.016 2310.274 -846.788 2685.667 -1543.125 2469.516 2047.265 2668.047 
25.878 0 0 0 10	-360.468 707.459 414.295 1108.083 -271.516 1176.065 -1283.959 1503.323 -201.068 2298.221 591.398 2286.765 -840.473 2665.639 -1533.586 2454.251 -3613.432 3032.029 -4163.649 3951.155 
26.092 0 0 0 9	-363.371 683.401 407.641 1090.286 -275.932 1149.341 -1286.532 1479.985 -199.238 2277.301 585.889 2265.465 -834.158 2645.611 -1544.736 2424.750 -4179.922 3698.082 
26.305 0 0 0 8	-364.577 657.714 417.445 1059.746 -1286.808 1454.472 -196.885 2250.404 580.381 2244.166 -827.242 2623.675 -1532.916 2406.196 -4180.671 3698.745 
26.519 0 0 0 10	-363.000 628.734 407.549 1034.624 -273.856 1098.375 -1284.731 1426.838 -213.736 2219.734 574.121 2219.963 -841.144 2588.776 -1540.784 2372.599 -4190.148 3642.440 -4162.865 3881.935 
26.732 0 0 0 9	-364.704 595.143 413.298 997.790 -275.418 1064.962 -1280.919 1397.878 -210.573 2186.885 585.190 2183.958 -853.867 2551.939 -1547.631 2338.216 -2211.681 4159.566 
26.946 0 0 0 9	-369.798 558.704 401.052 968.226 -284.074 1024.339 -1287.223 1356.450 -207.123 2151.051 576.390 2151.117 -843.713 2521.593 2037.739 2516.399 -2232.626 4111.985 
27.160 0 0 0 8	-369.908 518.592 403.135 927.148 -283.631 989.138 -1280.950 1326.463 -203.481 2113.226 585.519 2111.314 -852.989 2477.259 -2214.971 4079.469 
27.373 0 0 0 9	-367.692 479.185 402.252 882.662 -280.607 947.314 -1293.123 1270.748 -217.733 2071.589 574.028 2069.878 -861.222 2432.015 -1555.539 2221.540 2040.851 2432.191 
27.587 0 0 0 9	-369.536 432.671 399.945 838.502 -283.265 898.401 -1294.068 1228.025 -230.482 2022.912 561.735 2025.551 -869.415 2388.699 -1552.219 2176.131 2038.617 2386.914 
27.800 0 0 0 9	-368.958 388.801 394.885 792.017 -294.314 854.749 -1292.447 1184.310 -225.048 1975.221 550.778 1986.042 -874.468 2338.870 -1567.358 2118.163 2037.063 2343.373 
28.014 0 0 0 9	-375.976 332.635 388.792 746.863 -292.085 802.497 -1310.179 1118.999 -219.841 1929.517 569.735 1923.392 -1561.108 2071.661 2028.943 2293.302 -2248.000 3893.650 
28.228 0 0 0 8	-371.289 284.900 390.492 690.192 -294.300 747.125 -230.333 1875.912 554.114 1870.657 -1571.168 2011.003 2023.451 2247.270 -2257.531 3832.527 
28.441 0 0 0 11	-374.309 229.377 388.739 634.364 -300.258 690.546 -1315.380 1009.326 -239.255 1817.318 539.061 1819.840 -862.011 2188.342 -1578.965 1949.859 2011.908 2195.612 -2269.773 3777.536 -4126.836 6004.583 
